Species (English and scientific names),Taxonomic group,COSEWIC Status,SARA Status,Page on SARA registry,Timeline,After 2017?,Lag (days) Minister -> GiC Receipt,Aquatic_vs_terrestrial,Consultation_Pathway,Last Minister Receipt,date_1,doc_type_1,date_2,doc_type_2,date_3,doc_type_3,date_4,doc_type_4,date_5,doc_type_5,date_6,doc_type_6,date_7,doc_type_7,date_8,doc_type_8,date_9,doc_type_9,date_10,doc_type_10,date_11,doc_type_11,date_12,doc_type_12,date_13,doc_type_13,date_14,doc_type_14,date_15,doc_type_15,date_16,doc_type_16,date_17,doc_type_17,date_18,doc_type_18
"Shortfin Mako (Isurus oxyrinchus), Atlantic population",Fishes (marine),Endangered,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/909-636,No GiC Receipt,TRUE,0,,,2020-01-07T08:00:00Z,2006-08-30T07:00:00Z,0_COSEWIC_Assessment,2006-11-29T08:00:00Z,1_Response_Statement,2018-01-17T08:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2019-03-20T07:00:00Z,4_GiC_Receipt,2019-03-23T07:00:00Z,5_GiC_Listing_Decision,2019-08-21T07:00:00Z,5_GiC_Listing_Decision,2019-12-17T08:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ute Ladiesâ€™â€“tresses (Spiranthes diluvialis),Vascular Plants,Endangered,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/1444-1031,No GiC Receipt,TRUE,0,,,2020-01-07T08:00:00Z,2019-10-09T07:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-rimmed Shingle Lichen (Fuscopannaria leucosticta),Lichens,Threatened,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/1447-1049,No GiC Receipt,TRUE,0,,,2020-01-07T08:00:00Z,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2020-01-16T08:00:00Z,0_COSEWIC_Assessment,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yukon Draba (Draba yukonensis),Vascular Plants,Special Concern,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/1171-847,No GiC Receipt,TRUE,0,,,2020-01-07T08:00:00Z,2012-10-15T07:00:00Z,0_COSEWIC_Assessment,2013-01-03T08:00:00Z,1_Response_Statement,2013-01-03T08:00:00Z,2_Consultation_Begin,2013-10-04T07:00:00Z,3_Consultation_End,2017-06-14T07:00:00Z,4_GiC_Receipt,2017-06-17T07:00:00Z,5_GiC_Listing_Decision,2018-02-21T08:00:00Z,5_GiC_Listing_Decision,2019-10-09T07:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptic Paw Lichen (Nephroma occultum),Lichens,Threatened,Special Concern (under consideration for status change),https://species-registry.canada.ca/index-en.html#/species/125-422,No GiC Receipt (status change),TRUE,0,,,2020-01-07T08:00:00Z,2006-11-29T08:00:00Z,1_Response_Statement,2006-12-28T08:00:00Z,2_Consultation_Begin,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,2008-03-14T07:00:00Z,3_Consultation_End,2012-04-21T07:00:00Z,5_GiC_Listing_Decision,2012-07-04T07:00:00Z,5_GiC_Listing_Decision,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2020-01-16T08:00:00Z,0_COSEWIC_Assessment,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fin Whale (Balaenoptera physalus), Pacific population",Mammals (marine),Special Concern,Threatened (under consideration for status change),https://species-registry.canada.ca/index-en.html#/species/875-593,No GiC Receipt (status change),TRUE,0,,,2020-01-07T08:00:00Z,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,2019-12-09T08:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brook Spike-primrose (Epilobium torreyi),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/944-622,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2006-08-30T07:00:00Z,0_COSEWIC_Assessment,2006-11-29T08:00:00Z,1_Response_Statement,2006-12-28T08:00:00Z,2_Consultation_Begin,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,2008-03-14T07:00:00Z,3_Consultation_End,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fin Whale (Balaenoptera physalus), Atlantic population",Mammals (marine),Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/874-592,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,2019-12-09T08:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Elfin (Callophrys irus),Arthropods,Extirpated,Extirpated,https://species-registry.canada.ca/index-en.html#/species/590-239,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2000-11-01T08:00:00Z,0_COSEWIC_Assessment,2010-12-02T08:00:00Z,1_Response_Statement,2010-12-02T08:00:00Z,2_Consultation_Begin,2012-02-04T08:00:00Z,3_Consultation_End,2012-04-21T07:00:00Z,5_GiC_Listing_Decision,2012-07-04T07:00:00Z,5_GiC_Listing_Decision,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gravel Chub (Erimystax x-punctatus),Fishes (freshwater),Extirpated,Extirpated,https://species-registry.canada.ca/index-en.html#/species/84-110,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2008-11-26T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nooksack Dace (Rhinichthys cataractae),Fishes (freshwater),Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/66-49,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2007-12-04T08:00:00Z,1_Response_Statement,2019-10-09T07:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paddlefish (Polyodon spathula),Fishes (freshwater),Extirpated,Extirpated,https://species-registry.canada.ca/index-en.html#/species/63-46,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2008-11-26T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pale Yellow Dune Moth (Copablepharon grandis),Arthropods,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/998-682,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2008-08-28T07:00:00Z,0_COSEWIC_Assessment,2008-11-26T08:00:00Z,1_Response_Statement,2009-01-30T08:00:00Z,2_Consultation_Begin,2009-12-05T08:00:00Z,5_GiC_Listing_Decision,2010-03-17T07:00:00Z,5_GiC_Listing_Decision,2010-03-19T07:00:00Z,3_Consultation_End,2019-10-09T07:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polar Bear (Ursus maritimus),Mammals (terrestrial),Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/167-284,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,2008-11-26T08:00:00Z,1_Response_Statement,2009-01-30T08:00:00Z,2_Consultation_Begin,2010-03-19T07:00:00Z,3_Consultation_End,2011-02-16T08:00:00Z,4_GiC_Receipt,2011-07-02T07:00:00Z,5_GiC_Listing_Decision,2011-11-09T08:00:00Z,5_GiC_Listing_Decision,2019-10-09T07:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End
Pygmy Short-horned Lizard (Phrynosoma douglasii),Reptiles,Extirpated,Extirpated,https://species-registry.canada.ca/index-en.html#/species/275-203,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2007-12-04T08:00:00Z,1_Response_Statement,2008-02-18T08:00:00Z,2_Consultation_Begin,2009-03-27T07:00:00Z,3_Consultation_End,2012-04-21T07:00:00Z,5_GiC_Listing_Decision,2012-07-04T07:00:00Z,5_GiC_Listing_Decision,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pygmy Snaketail (Ophiogomphus howei),Arthropods,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/1034-712,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2009-08-28T07:00:00Z,0_COSEWIC_Assessment,2009-11-25T08:00:00Z,1_Response_Statement,2009-12-17T08:00:00Z,2_Consultation_Begin,2010-05-27T07:00:00Z,4_GiC_Receipt,2010-07-03T07:00:00Z,5_GiC_Listing_Decision,2011-02-16T08:00:00Z,5_GiC_Listing_Decision,2011-03-01T08:00:00Z,3_Consultation_End,2019-10-09T07:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rapids Clubtail (Phanogomphus quadricolor),Arthropods,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/1006-694,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2008-08-28T07:00:00Z,0_COSEWIC_Assessment,2008-11-26T08:00:00Z,1_Response_Statement,2009-01-30T08:00:00Z,2_Consultation_Begin,2009-12-05T08:00:00Z,5_GiC_Listing_Decision,2010-03-17T07:00:00Z,5_GiC_Listing_Decision,2010-03-19T07:00:00Z,3_Consultation_End,2019-10-09T07:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sowerby's Beaked Whale (Mesoplodon bidens),Mammals (marine),Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/169-432,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2007-12-04T08:00:00Z,1_Response_Statement,2010-10-13T07:00:00Z,4_GiC_Receipt,2010-12-18T08:00:00Z,5_GiC_Listing_Decision,2011-07-06T07:00:00Z,5_GiC_Listing_Decision,2019-12-17T08:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vancouver Island Marmot (Marmota vancouverensis),Mammals (terrestrial),Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/136-121,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2008-11-26T08:00:00Z,1_Response_Statement,2012-04-21T07:00:00Z,5_GiC_Listing_Decision,2012-07-04T07:00:00Z,5_GiC_Listing_Decision,2019-12-17T08:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wood Turtle (Glyptemys insculpta),Reptiles,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/286-449,No GiC Receipt (no change needed),TRUE,0,,,2020-01-07T08:00:00Z,2008-11-26T08:00:00Z,1_Response_Statement,2009-01-30T08:00:00Z,2_Consultation_Begin,2009-12-05T08:00:00Z,5_GiC_Listing_Decision,2010-03-17T07:00:00Z,5_GiC_Listing_Decision,2010-03-19T07:00:00Z,3_Consultation_End,2019-10-09T07:00:00Z,0_COSEWIC_Assessment,2020-01-07T08:00:00Z,1_Response_Statement,2020-01-07T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ringed Seal (Pusa hispida),Mammals (marine),Special Concern,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/347-1059,No GiC Receipt,TRUE,0,,,2020-12-02T08:00:00Z,2020-10-15T07:00:00Z,0_COSEWIC_Assessment,2020-12-02T08:00:00Z,1_Response_Statement,2023-09-27T07:00:00Z,2_Consultation_Begin,2023-12-22T08:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rocky Mountain Sculpin (Cottus sp.), Missouri River populations",Fishes (freshwater),Threatened,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/1491-1071,No GiC Receipt,TRUE,0,,,2020-12-02T08:00:00Z,2020-10-21T07:00:00Z,0_COSEWIC_Assessment,2020-12-02T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rocky Mountain Sculpin (Cottus sp.), Saskatchewan - Nelson River populations",Fishes (freshwater),Threatened,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/1490-1070,No GiC Receipt,TRUE,0,,,2020-12-02T08:00:00Z,2020-10-21T07:00:00Z,0_COSEWIC_Assessment,2020-12-02T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suckleyâ€™s Cuckoo Bumble Bee (Bombus suckleyi),Arthropods,Threatened,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/1482-1062,No GiC Receipt,TRUE,0,,,2020-12-02T08:00:00Z,2020-10-26T07:00:00Z,0_COSEWIC_Assessment,2020-12-02T08:00:00Z,1_Response_Statement,2020-12-02T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coastrange Sculpin (Cottus aleuticus), Cultus population",Fishes (freshwater),Endangered,Threatened (under consideration for status change),https://species-registry.canada.ca/index-en.html#/species/300-213,No GiC Receipt (status change),TRUE,0,,,2020-12-02T08:00:00Z,2000-11-30T08:00:00Z,0_COSEWIC_Assessment,2010-09-03T07:00:00Z,0_COSEWIC_Assessment,2010-12-02T08:00:00Z,1_Response_Statement,2012-04-21T07:00:00Z,5_GiC_Listing_Decision,2012-07-04T07:00:00Z,5_GiC_Listing_Decision,2020-10-21T07:00:00Z,0_COSEWIC_Assessment,2020-12-02T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Harvest Mouse megalotis subspecies (Reithrodontomys megalotis megalotis),Mammals (terrestrial),Endangered,Special Concern (under consideration for status change),https://species-registry.canada.ca/index-en.html#/species/171-426,No GiC Receipt (status change),TRUE,0,,,2020-12-02T08:00:00Z,2007-12-04T08:00:00Z,1_Response_Statement,2008-02-18T08:00:00Z,2_Consultation_Begin,2008-06-25T07:00:00Z,4_GiC_Receipt,2009-01-17T08:00:00Z,5_GiC_Listing_Decision,2009-03-18T07:00:00Z,5_GiC_Listing_Decision,2009-03-27T07:00:00Z,3_Consultation_End,2020-10-21T07:00:00Z,0_COSEWIC_Assessment,2020-12-02T08:00:00Z,1_Response_Statement,2020-12-02T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia Sculpin (Cottus hubbsi),Fishes (freshwater),Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/624-370,No GiC Receipt (no change needed),TRUE,0,,,2020-12-02T08:00:00Z,2011-09-09T07:00:00Z,0_COSEWIC_Assessment,2011-12-08T08:00:00Z,1_Response_Statement,2020-10-21T07:00:00Z,0_COSEWIC_Assessment,2020-12-02T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Basin Spadefoot (Spea intermontana),Amphibians,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/539-62,No GiC Receipt (no change needed),TRUE,0,,,2020-12-02T08:00:00Z,2007-12-04T08:00:00Z,1_Response_Statement,2008-02-18T08:00:00Z,2_Consultation_Begin,2009-03-27T07:00:00Z,3_Consultation_End,2020-10-26T07:00:00Z,0_COSEWIC_Assessment,2020-12-02T08:00:00Z,1_Response_Statement,2020-12-02T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rocky Mountain Sculpin (Cottus sp.), Westslope populations",Fishes (freshwater),Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/1093-756,No GiC Receipt (no change needed),TRUE,0,,,2020-12-02T08:00:00Z,2010-09-03T07:00:00Z,0_COSEWIC_Assessment,2010-12-02T08:00:00Z,1_Response_Statement,2016-08-24T07:00:00Z,4_GiC_Receipt,2016-08-27T07:00:00Z,5_GiC_Listing_Decision,2017-05-03T07:00:00Z,5_GiC_Listing_Decision,2020-10-21T07:00:00Z,0_COSEWIC_Assessment,2020-12-02T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Harvest Mouse dychei subspecies (Reithrodontomys megalotis dychei),Mammals (terrestrial),Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/492-669,No GiC Receipt (no change needed),TRUE,0,,,2020-12-02T08:00:00Z,2007-12-04T08:00:00Z,1_Response_Statement,2008-02-18T08:00:00Z,2_Consultation_Begin,2008-06-25T07:00:00Z,4_GiC_Receipt,2009-01-17T08:00:00Z,5_GiC_Listing_Decision,2009-03-18T07:00:00Z,5_GiC_Listing_Decision,2009-03-27T07:00:00Z,3_Consultation_End,2020-10-21T07:00:00Z,0_COSEWIC_Assessment,2020-12-02T08:00:00Z,1_Response_Statement,2020-12-02T08:00:00Z,2_Consultation_Begin,2021-09-02T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beluga Whale (Delphinapterus leucas), Eastern High Arctic - Baffin Bay population",Mammals (marine),Special Concern,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/150-363,No GiC Receipt,TRUE,0,,,2022-01-10T08:00:00Z,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,2012-07-04T07:00:00Z,4_GiC_Receipt,2012-07-07T07:00:00Z,5_GiC_Listing_Decision,2013-03-27T07:00:00Z,5_GiC_Listing_Decision,2021-10-12T07:00:00Z,0_COSEWIC_Assessment,2022-01-10T08:00:00Z,1_Response_Statement,2023-09-27T07:00:00Z,2_Consultation_Begin,2023-12-22T08:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beluga Whale (Delphinapterus leucas), Eastern Hudson Bay population",Mammals (marine),Threatened,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/146-129,No GiC Receipt,TRUE,0,,,2022-01-10T08:00:00Z,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,2021-10-12T07:00:00Z,0_COSEWIC_Assessment,2022-01-10T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beluga Whale (Delphinapterus leucas), Ungava Bay population",Mammals (marine),Endangered,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/189-148,No GiC Receipt,TRUE,0,,,2022-01-10T08:00:00Z,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,2021-10-12T07:00:00Z,0_COSEWIC_Assessment,2022-01-10T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Hills Mountainsnail (Oreohelix cooperi),Molluscs,Endangered,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/1518-1092,No GiC Receipt,TRUE,0,,,2022-01-10T08:00:00Z,2022-01-10T08:00:00Z,1_Response_Statement,2022-01-14T08:00:00Z,0_COSEWIC_Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook Salmon (Oncorhynchus tshawytscha), East Vancouver Island, Ocean, Fall population",Fishes (marine),Special Concern,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/1504-1079,No GiC Receipt,TRUE,0,,,2022-01-10T08:00:00Z,2021-10-12T07:00:00Z,0_COSEWIC_Assessment,2022-01-10T08:00:00Z,1_Response_Statement,2024-02-05T08:00:00Z,2_Consultation_Begin,2024-04-05T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook Salmon (Oncorhynchus tshawytscha), East Vancouver Island, Ocean, Summer population",Fishes (marine),Endangered,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/1503-1074,No GiC Receipt,TRUE,0,,,2022-01-10T08:00:00Z,2021-10-12T07:00:00Z,0_COSEWIC_Assessment,2022-01-10T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook Salmon (Oncorhynchus tshawytscha), Lower Fraser, Ocean, Summer population",Fishes (marine),Endangered,Not on Schedule 1 (under consideration for addition),https://species-registry.canada.ca/index-en.html#/species/1499-1081,No GiC Receipt,TRUE,0,,,2022-01-10T08:00:00Z,2021-10-12T07:00:00Z,0_COSEWIC_Assessment,2022-01-10T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
